image dimensions 100x72,,,,
Time elapsed was 248518ns or 0.000248518s,,248518,,0.000248518
image dimensions 100x72,,,,
Time elapsed was 116745ns or 0.000116745s,,116745,,0.000116745
image dimensions 100x72,,,,
Time elapsed was 120477ns or 0.000120477s,,120477,,0.000120477
image dimensions 100x72,,,,
Time elapsed was 132330ns or 0.000132330s,,132330,,0.00013233
image dimensions 100x72,,,,
Time elapsed was 119736ns or 0.000119736s,,119736,,0.000119736
image dimensions 100x72,,,,
Time elapsed was 248518ns or 0.000248518s,,248518,,0.000248518
image dimensions 100x72,,,,
Time elapsed was 139203ns or 0.000139203s,,139203,,0.000139203
image dimensions 100x72,,,,
Time elapsed was 123886ns or 0.000123886s,,123886,,0.000123886
image dimensions 100x72,,,,
Time elapsed was 145671ns or 0.000145671s,,145671,,0.000145671
image dimensions 100x72,,,,
Time elapsed was 313602ns or 0.000313602s,,313602,,0.000313602
,,,,
,,170868.6,,0.0001708686
