Time elapsed was 100029865ns or 0.100029865s,,100029865,,0.100029865
Time elapsed was 74909149ns or 0.074909149s,,74909149,,0.074909149
Time elapsed was 79880940ns or 0.079880940s,,79880940,,0.07988094
Time elapsed was 76279158ns or 0.076279158s,,76279158,,0.076279158
Time elapsed was 74327170ns or 0.074327170s,,74327170,,0.07432717
Time elapsed was 79999016ns or 0.079999016s,,79999016,,0.079999016
Time elapsed was 77600375ns or 0.077600375s,,77600375,,0.077600375
Time elapsed was 80275629ns or 0.080275629s,,80275629,,0.080275629
Time elapsed was 73670276ns or 0.073670276s,,73670276,,0.073670276
Time elapsed was 85158998ns or 0.085158998s,,85158998,,0.085158998
,,,,
,,80213057.6,,0.0802130576
